MR	NumUP	NumDN	Index_maVitro	Index_maVivo	Index_hmVitro	Index_hmVivo	Index_Focused
GPRC5A	0	3	0	0	0	0	0
ELF3	0	3	0	0	0	0	0
GRIN2A	0	3	0	0	0	0	0
KLK6	0	4	0	0	0	0	0
KIR2DL1	0	4	0	0	0	0	0
F7	0	2	0	0	0	0	0
BCAM	0	4	0	0	0	0	0
NPY2R	0	3	0	0	0	0	0
PDCD6	2	0	0	0	0	0	0
ZBTB14	2	0	0	0	0	0	0
CYSLTR1	2	0	0	0	0	0	0
MSH3	2	0	0	0	0	0	0
UBE2L3	3	0	1	1	1	1	1
SRFBP1	1	0	0	0	0	0	0
HSBP1	6	0	0	0	0	0	0
EEF1E1	1	0	0	0	0	0	0
SLC30A9	4	0	0	0	0	0	0
ZCCHC9	1	0	1	1	1	1	1
ZHX1	1	0	0	0	0	0	0
SMAD2	3	0	0	0	0	0	0
PCGF6	3	0	0	0	0	0	0
MRRF	4	0	0	0	0	0	0
RAD50	1	0	0	0	0	0	0
EID2	2	0	0	0	0	0	0
KIDINS220	1	0	0	0	0	0	0
RAN	3	0	0	0	0	0	0
ZCCHC17	6	0	0	0	0	0	0
BCL2L13	3	0	0	0	0	0	0
ASCC3	1	0	0	0	0	0	0
LEO1	1	0	0	0	0	0	0
ZBTB8OS	6	0	0	0	0	0	0
TBCK	2	0	0	0	0	0	0
BRCC3	4	0	0	0	0	0	0
ZC3H14	2	0	0	0	0	0	0
CSNK1G3	1	0	0	0	0	0	0
GTF2H3	3	0	0	0	0	0	0
ELP4	2	0	0	0	0	0	0
TXNDC17	5	0	0	0	0	0	0
INVS	3	0	0	0	0	0	0
IDH1	2	0	0	0	0	0	0
EIF4EBP2	3	0	0	0	0	0	0
TFCP2	2	0	0	0	0	0	0
GNB4	1	0	0	0	0	0	0
RALBP1	1	0	0	0	0	0	0
GSK3B	1	0	0	0	0	0	0
GTF2H4	1	0	0	0	0	0	0
TBC1D7	3	0	0	0	0	0	0
MED20	1	0	0	0	0	0	0
RHOT1	1	0	0	0	0	0	0
DNAJB6	1	0	1	1	0	0	1
TTF2	1	0	0	0	0	0	0
GGCT	4	0	0	0	0	0	0
AGK	2	0	0	0	0	0	0
PRMT6	1	0	0	0	0	0	0
CDK8	1	0	0	0	0	0	0
TIGD2	2	0	0	0	0	0	0
SMARCA2	2	0	0	0	0	0	0
