"xGene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Mm Eif3d"	1	0	0	0	"vitro_only"
"Mm Eif3f"	1	0	0	1	"shared"
"Mm Eif3i"	1	1	0	0	"vitro_only"
"Mm Eif3j1"	1	1	0	0	"vitro_only"
"Mm Eif3m"	1	0	0	1	"shared"
"Mm Eif4a1"	1	1	0	0	"vitro_only"
"Mm Eif4a3"	1	1	0	0	"vitro_only"
"Mm Eif4e"	1	1	0	0	"vitro_only"
"Mm Eif5b"	1	0	0	1	"shared"
"Mm Eif5"	1	1	0	0	"vitro_only"
"Mm Eif6"	1	1	0	0	"vitro_only"
"Mm Elac2"	1	1	0	0	"vitro_only"
"Mm Elof1"	1	1	1	0	"shared"
"Mm Elovl6"	1	0	0	0	"vitro_only"
"Mm Elp2"	1	0	0	0	"vitro_only"
"Mm Elp3"	1	1	0	0	"vitro_only"
"Mm Elp4"	1	0	0	0	"vitro_only"
"Mm Elp5"	1	1	0	1	"shared"
"Mm Elp6"	1	1	0	0	"vitro_only"
"Mm Emc4"	1	0	0	1	"shared"
"Mm Emg1"	1	1	0	1	"shared"
"Mm Eno1"	1	1	0	1	"shared"
"Mm Eny2"	1	0	0	0	"vitro_only"
"Mm Ep400"	1	1	0	0	"vitro_only"
"Mm Epc2"	1	0	0	0	"vitro_only"
"Mm Ept1"	1	0	0	0	"vitro_only"
"Mm Eral1"	1	0	1	0	"shared"
"Mm Ercc2"	1	1	0	1	"shared"
"Mm Erdr1"	1	1	0	0	"vitro_only"
"Mm Erh"	1	1	0	0	"vitro_only"
"Mm Esco2"	1	0	0	0	"vitro_only"
"Mm Esf1"	1	0	0	0	"vitro_only"
"Mm Espl1"	1	1	0	1	"shared"
"Mm Etf1"	1	1	0	0	"vitro_only"
"Mm Etnk1"	1	1	0	0	"vitro_only"
"Mm Exoc3"	1	1	0	0	"vitro_only"
"Mm Exoc5"	1	1	0	0	"vitro_only"
"Mm Exoc6"	1	0	0	0	"vitro_only"
"Mm Exoc7"	1	1	0	0	"vitro_only"
"Mm Exosc10"	1	0	0	0	"vitro_only"
"Mm Exosc2"	1	1	0	1	"shared"
"Mm Exosc3"	1	0	0	0	"vitro_only"
"Mm Exosc4"	1	1	0	0	"vitro_only"
"Mm Exosc5"	1	0	0	0	"vitro_only"
"Mm Exosc6"	1	0	0	0	"vitro_only"
"Mm Exosc7"	1	1	0	1	"shared"
"Mm Exosc8"	1	0	0	0	"vitro_only"
"Mm Exosc9"	1	0	0	0	"vitro_only"
"Mm Extl1"	1	0	0	0	"vitro_only"
"Mm Fam103a1"	1	0	0	0	"vitro_only"
"Mm Fam133b"	1	0	1	0	"shared"
"Mm Fam173b"	1	0	0	0	"vitro_only"
"Mm Fam210a"	1	0	0	0	"vitro_only"
"Mm Fam50a"	1	0	1	0	"shared"
"Mm Fam58b"	1	0	0	0	"vitro_only"
"Mm Fam60a"	1	0	0	0	"vitro_only"
"Mm Fam71f1"	1	0	0	0	"vitro_only"
"Mm Fam96b"	1	1	0	1	"shared"
"Mm Fars2"	1	1	0	1	"shared"
"Mm Farsa"	1	0	1	0	"shared"
"Mm Fau"	1	1	0	0	"vitro_only"
"Mm Fbl"	1	0	0	0	"vitro_only"
"Mm Fbxo5"	1	1	0	0	"vitro_only"
"Mm Fcf1"	1	1	0	0	"vitro_only"
"Mm Fdps"	1	0	0	0	"vitro_only"
"Mm Fdx1l"	1	1	0	0	"vitro_only"
"Mm Fdxr"	1	1	0	0	"vitro_only"
"Mm Fech"	1	0	1	0	"shared"
"Mm Fem1c"	1	0	0	0	"vitro_only"
"Mm Fen1"	1	0	0	0	"vitro_only"
"Mm Fh1"	1	1	1	0	"shared"
"Mm Fis1"	1	0	0	0	"vitro_only"
"Mm Fkbpl"	1	1	1	1	"shared"
"Mm Flad1"	1	0	0	0	"vitro_only"
"Mm Fli1"	1	0	1	0	"shared"
"Mm Fnta"	1	0	0	0	"vitro_only"
"Mm Fntb"	1	1	1	0	"shared"
"Mm Foxi1"	1	0	0	0	"vitro_only"
"Mm Fpgs"	1	1	0	0	"vitro_only"
"Mm Frmd7"	1	0	0	0	"vitro_only"
"Mm Ftcd"	1	1	0	0	"vitro_only"
"Mm Fth1"	1	0	0	0	"vitro_only"
"Mm Ftsj3"	1	1	0	0	"vitro_only"
"Mm Fxyd5"	1	1	1	1	"shared"
"Mm Gabpb1"	1	1	0	0	"vitro_only"
"Mm Gak"	1	0	0	0	"vitro_only"
"Mm Gale"	1	1	0	0	"vitro_only"
"Mm Galnt9"	1	0	0	0	"vitro_only"
"Mm Galr3"	1	0	0	0	"vitro_only"
"Mm Gapdh"	1	1	0	0	"vitro_only"
"Mm Gar1"	1	1	0	0	"vitro_only"
"Mm Gart"	1	0	0	0	"vitro_only"
"Mm Gata2"	1	0	0	0	"vitro_only"
"Mm Gbas"	1	0	0	0	"vitro_only"
"Mm Gclc"	1	1	0	0	"vitro_only"
"Mm Gdi2"	1	0	0	0	"vitro_only"
"Mm Gemin4"	1	0	0	0	"vitro_only"
"Mm Gemin5"	1	1	0	0	"vitro_only"
"Mm Gemin7"	1	1	1	0	"shared"
"Mm Gfm1"	1	1	0	0	"vitro_only"
"Mm Gfm2"	1	0	1	0	"shared"
"Mm Gfpt1"	1	0	0	0	"vitro_only"
"Mm Gigyf2"	1	0	0	0	"vitro_only"
"Mm Gins1"	1	1	0	0	"vitro_only"
"Mm Gins2"	1	1	0	0	"vitro_only"
"Mm Gins3"	1	1	1	1	"shared"
"Mm Gins4"	1	1	0	0	"vitro_only"
"Mm Gjc2"	1	0	0	0	"vitro_only"
"Mm Gle1"	1	0	0	0	"vitro_only"
"Mm Glra3"	1	0	0	0	"vitro_only"
"Mm Glrx5"	1	1	1	0	"shared"
"Mm Gls"	1	0	1	0	"shared"
"Mm Gltscr2"	1	1	0	0	"vitro_only"
"Mm Gm10696"	1	0	0	0	"vitro_only"
"Mm Gm13212"	1	0	0	0	"vitro_only"
"Mm Gm13547"	1	0	0	0	"vitro_only"
"Mm Gm13826"	1	0	0	0	"vitro_only"
"Mm Gm14743"	1	0	0	0	"vitro_only"
"Mm Gm16367"	1	1	0	1	"shared"
"Mm Gm16381"	1	1	0	0	"vitro_only"
"Mm Gm17296"	1	0	0	0	"vitro_only"
"Mm Gm2696"	1	0	0	0	"vitro_only"
"Mm Gm5409"	1	0	0	0	"vitro_only"
"Mm Gm561"	1	0	0	0	"vitro_only"
"Mm Gm6377"	1	0	0	0	"vitro_only"
"Mm Gm973"	1	0	0	0	"vitro_only"
"Mm Gm9992"	1	0	0	0	"vitro_only"
"Mm Gmppb"	1	1	0	0	"vitro_only"
"Mm Gmps"	1	0	0	0	"vitro_only"
"Mm Gnb1l"	1	1	0	1	"shared"
"Mm Gnb2l1"	1	1	0	0	"vitro_only"
